filename,entity_id,variant,take,role,status,folder,source,original_filename,added,notes
SHM-LOC-005-IRANIAN-PLATEAU_V01_late-dry-season-wide.png,SHM-LOC-005-IRANIAN-PLATEAU,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_vast_Iranian_plateau_in_late_dry_season_immense_open_a6788344-b754-47e9-97bd-7fc76f1c2c61_1.png,2026-09-03,
SHM-LOC-006-MERDAS-PRIVATE-HALL_V01_shrouded-throne-crown.png,SHM-LOC-006-MERDAS-PRIVATE-HALL,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_Location_The_private_ceremonial_hall_of_Merdas_insid_1205dbaf-5984-41fb-a447-b8e1ce129acf_3.png,2026-09-03,
SHM-LOC-007-ROYAL-AUDIENCE-PLATFORM_V01_dark-monolith-facade.png,SHM-LOC-007-ROYAL-AUDIENCE-PLATFORM,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_monumental_austere_royal_audience_platform_in_the_re_31028d90-0a86-49f8-ae51-51ee5b62a437_2.png,2026-09-03,
SHM-LOC-008-ZAHHAK-RITUAL-KITCHEN_V01_offerings-hearth-vault.png,SHM-LOC-008-ZAHHAK-RITUAL-KITCHEN,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_Royal_Ritual_Kitchen_of_Zahhaks_Palace._Vast_undergr_5ece3d75-2cda-41cf-bfcb-90d2f96cfd53_1.png,2026-09-03,
SHM-LOC-009-CEREMONIAL-RECEPTION-HALL_V01_empty-dais-oil-lamps.png,SHM-LOC-009-CEREMONIAL-RECEPTION-HALL,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_Wide_frontal_architectural_view_of_a_ceremonial_rece_07ea368c-9aa0-497f-bc39-f3839d240f4a_2.png,2026-09-03,
SHM-LOC-010-THRONE-TAKHT-E-JAMSHID_V01_fog-gilded-throne.jpeg,SHM-LOC-010-THRONE-TAKHT-E-JAMSHID,V01,T01,HERO,CONCEPT,03_LOCATIONS,unknown,Takht_Jamshid_202609031258.jpeg,2026-09-03,
SHM-LOC-011-PALACE-UNDERLEVELS_V01_carved-rock-stair-corridor.png,SHM-LOC-011-PALACE-UNDERLEVELS,V01,T01,PLATE,CONCEPT,03_LOCATIONS,midjourney,Digianzu_descending_secondary_circulation_route_inside_a_thri_a0ef1036-9a58-4a52-8af9-4d66057e6360_1.png,2026-09-03,
SHM-LOC-011-PALACE-UNDERLEVELS_V02_mudbrick-multilevel-court.png,SHM-LOC-011-PALACE-UNDERLEVELS,V02,T01,PLATE,CONCEPT,03_LOCATIONS,midjourney,Digianzu_descending_secondary_circulation_route_inside_a_thri_a2dbcc11-fe3c-4ab8-b57c-be0a0ed46368_0.png,2026-09-03,
SHM-PRP-001-STAFF-COBRA-BRONZE_V01_turnaround-sheet.jpeg,SHM-PRP-001-STAFF-COBRA-BRONZE,V01,T01,TURNAROUND,CONCEPT,04_PROPS,unknown,Generate_Zahhak_snake_staff_prop_202609031255.jpeg,2026-09-03,"Front, back, head detail, base detail."
SHM-PRP-010-GIFT-DIPLOMATIC-SET_V01_stone-slab-flatlay.png,SHM-PRP-010-GIFT-DIPLOMATIC-SET,V01,T01,PLATE,CONCEPT,04_PROPS,midjourney,Digianzu_carefully_arranged_diplomatic_gift_set_from_an_imagi_d2d40777-210a-4230-a6da-855b8fdd85d0_0.png,2026-09-03,
SHM-PRP-010-GIFT-DIPLOMATIC-SET_V02_niche-staged-gold.png,SHM-PRP-010-GIFT-DIPLOMATIC-SET,V02,T01,PLATE,CONCEPT,04_PROPS,midjourney,Digianzu_carefully_arranged_diplomatic_gift_set_from_an_imagi_d2d40777-210a-4230-a6da-855b8fdd85d0_3.png,2026-09-03,
SHM-CRT-001-RIDING-BEAST-PALE-BEAKED_V01_seated-saddle-blanket.png,SHM-CRT-001-RIDING-BEAST-PALE-BEAKED,V01,T01,HERO,CONCEPT,05_CREATURES,midjourney,Digianzu_believable_giant_terrestrial_riding_animal_native_to_d376b79c-0909-4cd7-80ee-2f81831f8bd1_0.png,2026-09-03,
SHM-CRT-002-RIDING-BEAST-LONGBEAK-BLACK_V01_forest-hill-scale-ref.png,SHM-CRT-002-RIDING-BEAST-LONGBEAK-BLACK,V01,T01,HERO,CONCEPT,05_CREATURES,midjourney,Digianzu_colossal_four-legged_riding_beast_extremely_tall_fro_bb555897-b263-4728-a85b-27f6befcaba7_1.png,2026-09-03,"Two figures in frame give the scale."
SHM-CRT-003-RIDING-BEAST-STONE-HIDE_V01_plain-scale-ref.png,SHM-CRT-003-RIDING-BEAST-STONE-HIDE,V01,T01,HERO,CONCEPT,05_CREATURES,midjourney,Digianzu_enormous_domesticated_terrestrial_riding_beast_belon_25187d2d-1bc4-4aae-8700-b143c61171b6_2.png,2026-09-03,"Three robed figures give the scale."
SHM-REF-001-BOARD-CIVILIZATION-CASTE_V01_workers-craftsmen-priests-civilization.jpeg,SHM-REF-001-BOARD-CIVILIZATION-CASTE,V01,T01,BOARD,CONCEPT,08_REFERENCE,unknown,workers_craftsmen_priests_Civili..._202609031258 (1).jpeg,2026-09-03,"Bottom-right quadrant repeats the workers frame."
SHM-REF-001-BOARD-CIVILIZATION-CASTE_V02_workers-craftsmen-priests-warriors.jpeg,SHM-REF-001-BOARD-CIVILIZATION-CASTE,V02,T01,BOARD,CONCEPT,08_REFERENCE,unknown,workers_craftsmen_priests_Civili..._202609031258.jpeg,2026-09-03,"Bottom-right quadrant is the warriors. More useful than V01."
